ID,Nombre,Categoría,Descripción Actual,Problemas
"prod_106","SHAMPOO MAXIMO 250 cm3","higiene-cuidado","SHAMPOO MAXIMO 250 cm3","Descripción IDÉNTICA al título | Descripción MUY CORTA (22 chars) | longDescription IGUAL a description"
"prod_134","PIEDRAS ABSORSOL","higiene-cuidado","PIEDRAS ABSORSOL","Descripción IDÉNTICA al título | Descripción MUY CORTA (16 chars) | longDescription IGUAL a description"
"prod_140","ZOOTEC PIEDRAS NATURALES","higiene-cuidado","ZOOTEC PIEDRAS NATURALES","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_148","MOISES TUNEL ECONOMICO","casa-descanso","MOISES TUNEL ECONOMICO","Descripción IDÉNTICA al título | Descripción MUY CORTA (22 chars) | longDescription IGUAL a description"
"prod_160","PUFF UNICO TALLE","casa-descanso","PUFF UNICO TALLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (16 chars) | longDescription IGUAL a description"
"prod_161","PUFF UNICO TALLE SOFF","casa-descanso","PUFF UNICO TALLE SOFF","Descripción IDÉNTICA al título | Descripción MUY CORTA (21 chars) | longDescription IGUAL a description"
"prod_162","ALMOHADON DONA","casa-descanso","ALMOHADON DONA","Descripción IDÉNTICA al título | Descripción MUY CORTA (14 chars) | longDescription IGUAL a description"
"prod_164","BOLSO FANTASIA","casa-descanso","BOLSO FANTASIA","Descripción IDÉNTICA al título | Descripción MUY CORTA (14 chars) | longDescription IGUAL a description"
"prod_168","COLCHONETA MALETIN MOVIL","casa-descanso","COLCHONETA MALETIN MOVIL","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_169","CANASTO TRASPORTADOR FANTASIA","casa-descanso","CANASTO TRASPORTADOR FANTASIA","Descripción IDÉNTICA al título | Descripción MUY CORTA (29 chars) | longDescription IGUAL a description"
"prod_170","CASITA FELIZ","casa-descanso","CASITA FELIZ","Descripción IDÉNTICA al título | Descripción MUY CORTA (12 chars) | longDescription IGUAL a description"
"prod_197","RASCADOR PUENTE","accesorios","RASCADOR PUENTE","Descripción IDÉNTICA al título | Descripción MUY CORTA (15 chars) | longDescription IGUAL a description"
"prod_198","RASCADOR CILINDRO PARA PARED","accesorios","RASCADOR CILINDRO PARA PARED","Descripción IDÉNTICA al título | Descripción MUY CORTA (28 chars) | longDescription IGUAL a description"
"prod_205","JUGUETE CON RESORTE Y PES","juguetes","JUGUETE CON RESORTE Y PES","Descripción IDÉNTICA al título | Descripción MUY CORTA (25 chars) | longDescription IGUAL a description"
"prod_206","RASCADOR POSTE ZOOTEC N 1","accesorios","RASCADOR POSTE ZOOTEC N 1","Descripción IDÉNTICA al título | Descripción MUY CORTA (25 chars) | longDescription IGUAL a description"
"prod_207","RASCADOR CON CARTON SIMPLE","accesorios","RASCADOR CON CARTON SIMPLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (26 chars) | longDescription IGUAL a description"
"prod_208","RASACADOR C/ CAJA KIMEY","accesorios","RASACADOR C/ CAJA KIMEY","Descripción IDÉNTICA al título | Descripción MUY CORTA (23 chars) | longDescription IGUAL a description"
"prod_209","RASACADOR PLANO N1 KIMEY","accesorios","RASACADOR PLANO N1 KIMEY","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_211","RASCADOR HELICE N7 KIMEY","accesorios","RASCADOR HELICE N7 KIMEY","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_213","RASACDOR MESA N2 KIMEY","accesorios","RASACDOR MESA N2 KIMEY","Descripción IDÉNTICA al título | Descripción MUY CORTA (22 chars) | longDescription IGUAL a description"
"prod_214","TITO'S - AGATAR","accesorios","TITO'S - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (15 chars) | longDescription IGUAL a description"
"prod_215","VAINILLA - AGATAR","casa-descanso","VAINILLA  - AGATAR","Descripción MUY SIMILAR al título | Descripción MUY CORTA (18 chars) | longDescription IGUAL a description"
"prod_216","ALSINA - AGATAR","casa-descanso","ALSINA - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (15 chars) | longDescription IGUAL a description"
"prod_217","AGATAR - CARA DE GATO","casa-descanso","AGATAR - CARA DE GATO","Descripción IDÉNTICA al título | Descripción MUY CORTA (21 chars) | longDescription IGUAL a description"
